,,,"5350011.00 [Census tract], Ontario",,,,,,"Toronto [Census metropolitan area], Ontario",,,,,
Age characteristics,Total - Distribution (%) of the population by broad age groups - 100% data,,100,,100,,100,,100,,100,,100,
Age characteristics,  0 to 14 years,,2.8,,2.9,,2.7,,16.6,,17.6,,15.7,
Age characteristics,  15 to 64 years,,94.2,,94.1,,94.4,,68.9,,69.1,,68.7,
Age characteristics,  65 years and over,,2.9,,3,,2.8,,14.5,,13.3,,15.6,
Age characteristics,    85 years and over,,0.1,,0.1,,0.2,,1.9,,1.4,,2.4,
Age characteristics,Average age of the population,,33.8,,34.3,,33.3,,39.7,,38.7,,40.6,
Age characteristics,Median age of the population,,30.9,,31.5,,30.3,,39.4,,38.2,,40.4,
Household and dwelling characteristics,Total - Occupied private dwellings by structural type of dwelling - 100% data,5,11890,,,...,,...,2135910,,,...,,...
Household and dwelling characteristics,  Single-detached house,,10,,,...,,...,846405,,,...,,...
Household and dwelling characteristics,  Apartment in a building that has five or more storeys,,11500,,,...,,...,626905,,,...,,...
Household and dwelling characteristics,  Other attached dwelling,6,385,,,...,,...,661955,,,...,,...
Household and dwelling characteristics,    Semi-detached house,,20,,,...,,...,158815,,,...,,...
Household and dwelling characteristics,    Row house,,70,,,...,,...,195245,,,...,,...
Household and dwelling characteristics,    Apartment or flat in a duplex,,20,,,...,,...,89975,,,...,,...
Household and dwelling characteristics,    Apartment in a building that has fewer than five storeys,,260,,,...,,...,214365,,,...,,...
Household and dwelling characteristics,    Other single-attached house,,10,,,...,,...,3555,,,...,,...
Household and dwelling characteristics,  Movable dwelling,7,0,,,...,,...,640,,,...,,...
Household and dwelling characteristics,Total - Private households by household size - 100% data,8,11890,,,...,,...,2135910,,,...,,...
Household and dwelling characteristics,  1 person,,7275,,,...,,...,519795,,,...,,...
Household and dwelling characteristics,  2 persons,,3915,,,...,,...,598700,,,...,,...
Household and dwelling characteristics,  3 persons,,540,,,...,,...,373775,,,...,,...
Household and dwelling characteristics,  4 persons,,125,,,...,,...,377170,,,...,,...
Household and dwelling characteristics,  5 or more persons,,35,,,...,,...,266470,,,...,,...
Household and dwelling characteristics,Number of persons in private households,,17420,,,...,,...,5862855,,,...,,...
Household and dwelling characteristics,Average household size,,1.5,,,...,,...,2.7,,,...,,...
Marital status,Total - Marital status for the population aged 15 years and over - 100% data,9,17060,,8795,,8265,,4942430,,2371060,,2571365,
Marital status,  Married or living common law,,6650,,3440,,3210,,2758170,,1378855,,1379315,
Marital status,    Married,,3575,,1830,,1750,,2466925,,1230930,,1235995,
Marital status,    Living common law,,3070,,1615,,1460,,291240,,147925,,143320,
Marital status,  Not married and not living common law,,10410,,5350,,5055,,2184260,,992210,,1192050,
Marital status,    Never married,,9365,,4875,,4490,,1537495,,798270,,739220,
Marital status,    Separated,,290,,160,,130,,130030,,51235,,78795,
Marital status,    Divorced,,670,,300,,370,,271530,,97385,,174150,
Marital status,    Widowed,,90,,20,,65,,245200,,45310,,199890,
Family characteristics,Total - Census families in private households by family size - 100% data,10,3395,,,...,,...,1625790,,,...,,...
Family characteristics,  2 persons,,2860,,,...,,...,682915,,,...,,...
Family characteristics,  3 persons,,405,,,...,,...,397625,,,...,,...
Family characteristics,  4 persons,,110,,,...,,...,391440,,,...,,...
Family characteristics,  5 or more persons,,15,,,...,,...,153805,,,...,,...
Family characteristics,Average size of census families,,2.2,,,...,,...,3,,,...,,...
Family characteristics,Total number of census families in private households - 100% data,11,3400,,,...,,...,1625790,,,...,,...
Family characteristics,  Total couple families,,3185,,,...,,...,1333645,,,...,,...
Family characteristics,    Married couples,,1650,,,...,,...,1188130,,,...,,...
Family characteristics,    Common-law couples,,1535,,,...,,...,145515,,,...,,...
Family characteristics,  Total lone-parent families by sex of parent,,210,,,...,,...,292150,,,...,,...
Family characteristics,    Female parent,,165,,,...,,...,241820,,,...,,...
Family characteristics,    Male parent,,45,,,...,,...,50325,,,...,,...
Family characteristics,Total - Couple census families in private households - 100% data,,3185,,,...,,...,1333645,,,...,,...
Family characteristics,  Couples without children,,2690,,,...,,...,509835,,,...,,...
Family characteristics,  Couples with children,,490,,,...,,...,823805,,,...,,...
Family characteristics,    1 child,,370,,,...,,...,312605,,,...,,...
Family characteristics,    2 children,,105,,,...,,...,366295,,,...,,...
Family characteristics,    3 or more children,,15,,,...,,...,144910,,,...,,...
Family characteristics,Total - Lone-parent census families in private households - 100% data,,210,,,...,,...,292145,,,...,,...
Family characteristics,  1 child,,165,,,...,,...,173080,,,...,,...
Family characteristics,  2 children,,35,,,...,,...,85025,,,...,,...
Family characteristics,  3 or more children,,5,,,...,,...,34040,,,...,,...
Family characteristics,Total - Persons not in census families in private households - 100% data,,9935,,5165,,4770,,923210,,415830,,507380,
Household type,Total - Private households by household type - 100% data,12,11890,,,...,,...,2135910,,,...,,...
Household type,  One-census-family households,,3365,,,...,,...,1430535,,,...,,...
Household type,    Without children in a census family,13,2675,,,...,,...,434860,,,...,,...
Household type,    With children in a census family,14,695,,,...,,...,995670,,,...,,...
Household type,  Multiple-census-family households,,20,,,...,,...,93790,,,...,,...
Household type,  Non-census-family households,,8515,,,...,,...,611585,,,...,,...
Household type,    One-person households,,7275,,,...,,...,519790,,,...,,...
Household type,    Two-or-more person non-census-family households,,1235,,,...,,...,91795,,,...,,...
Knowledge of official languages,Total - Knowledge of official languages for the total population excluding institutional residents - 100% data,15,17455,,9000,,8455,,5883670,,2858785,,3024885,
Knowledge of official languages,  English only,,14395,,7555,,6845,,5154905,,2553030,,2601880,
Knowledge of official languages,  French only,,10,,0,,5,,4855,,2035,,2815,
Knowledge of official languages,  English and French,,2885,,1375,,1510,,464980,,201080,,263900,
Knowledge of official languages,  Neither English nor French,,165,,65,,95,,258925,,102635,,156290,
First official language spoken,Total - First official language spoken for the total population excluding institutional residents - 100% data,16,17455,,8995,,8460,,5883665,,2858785,,3024885,
First official language spoken,  English,,16650,,8600,,8050,,5503690,,2700905,,2802785,
First official language spoken,  French,,515,,280,,235,,72790,,33545,,39245,
First official language spoken,  English and French,,130,,55,,75,,51895,,23470,,28425,
First official language spoken,  Neither English nor French,,165,,65,,95,,255295,,100870,,154430,
First official language spoken,Official language minority (number),17,580,,305,,270,,98735,,45280,,53455,
First official language spoken,Official language minority (percentage),17,3.3,,3.4,,3.2,,1.7,,1.6,,1.8,
Mother tongue,Total - Mother tongue for the total population excluding institutional residents - 100% data,18,17455,,8995,,8455,,5883670,,2858785,,3024880,
Mother tongue,  Single responses,,16850,,8695,,8155,,5645915,,2743825,,2902090,
Mother tongue,    Official languages,,11815,,6395,,5425,,3127355,,1550385,,1576970,
Mother tongue,      English,,11330,,6125,,5210,,3061820,,1520045,,1541775,
Mother tongue,      French,,490,,270,,220,,65535,,30340,,35195,
Mother tongue,    Non-official languages,,5035,,2300,,2730,,2518555,,1193440,,1325120,
Mother tongue,      Aboriginal languages,,0,,0,,0,,575,,255,,325,
Mother tongue,        Algonquian languages,,0,,0,,0,,400,,175,,230,
Mother tongue,          Blackfoot,,0,,0,,0,,5,,10,,0,
Mother tongue,          Cree-Montagnais languages,,0,,0,,0,,115,,45,,70,
Mother tongue,            Atikamekw,,0,,0,,0,,5,,0,,5,
Mother tongue,            Montagnais (Innu),,0,,0,,0,,5,,5,,0,
Mother tongue,            Moose Cree,,0,,0,,0,,10,,0,,10,
Mother tongue,            Naskapi,,0,,0,,0,,5,,5,,0,
Mother tongue,            Northern East Cree,,0,,0,,0,,5,,0,,0,
Mother tongue,            Plains Cree,,0,,0,,0,,10,,0,,5,
Mother tongue,            Southern East Cree,,0,,0,,0,,0,,0,,0,
Mother tongue,            Swampy Cree,,0,,0,,0,,30,,10,,20,
Mother tongue,            Woods Cree,,0,,0,,0,,5,,0,,0,
Mother tongue,            Cree; n.o.s.,,0,,0,,0,,55,,20,,35,
Mother tongue,          Eastern Algonquian languages,,0,,0,,0,,25,,10,,15,
Mother tongue,            Malecite,,0,,0,,0,,0,,0,,0,
Mother tongue,            Mi'kmaq,,0,,0,,0,,25,,10,,15,
Mother tongue,          Ojibway-Potawatomi languages,,0,,0,,0,,250,,115,,140,
Mother tongue,            Algonquin,,0,,0,,0,,5,,0,,0,
Mother tongue,            Ojibway,,0,,0,,0,,230,,105,,120,
Mother tongue,            Oji-Cree,,0,,0,,0,,10,,5,,5,
Mother tongue,            Ottawa (Odawa),,0,,0,,0,,15,,5,,10,
Mother tongue,          Algonquian languages; n.i.e.,,0,,0,,0,,10,,0,,5,
Mother tongue,        Athabaskan languages,,0,,0,,0,,25,,10,,15,
Mother tongue,          Northern Athabaskan languages,,0,,0,,0,,25,,10,,15,
Mother tongue,            Babine (Wetsuwet'en),,0,,0,,0,,0,,0,,0,
Mother tongue,            Beaver,,0,,0,,0,,0,,0,,0,
Mother tongue,            Carrier,,0,,0,,0,,0,,5,,0,
Mother tongue,            Chilcotin,,0,,0,,0,,5,,0,,5,
Mother tongue,            Dene,,0,,0,,0,,5,,5,,5,
Mother tongue,            Dogrib (Tlicho),,0,,0,,0,,5,,0,,0,
Mother tongue,            Gwich'in,,0,,0,,0,,5,,0,,5,
Mother tongue,            Sarsi (Sarcee),,0,,0,,0,,5,,5,,5,
Mother tongue,            Sekani,,0,,0,,0,,0,,0,,0,
Mother tongue,            Slavey-Hare languages,,0,,0,,0,,0,,0,,0,
Mother tongue,              North Slavey (Hare),,0,,0,,0,,0,,0,,0,
Mother tongue,              South Slavey,,0,,0,,0,,0,,0,,0,
Mother tongue,              Slavey; n.o.s.,,0,,0,,0,,0,,0,,0,
Mother tongue,            Tahltan languages,,0,,0,,0,,0,,0,,0,
Mother tongue,              Kaska (Nahani),,0,,0,,0,,0,,0,,0,
Mother tongue,              Tahltan,,0,,0,,0,,0,,0,,0,
Mother tongue,            Tutchone languages,,0,,0,,0,,0,,0,,0,
Mother tongue,              Northern Tutchone,,0,,0,,0,,0,,0,,0,
Mother tongue,              Southern Tutchone,,0,,0,,0,,0,,0,,0,
Mother tongue,          Athabaskan languages; n.i.e.,,0,,0,,0,,0,,5,,0,
Mother tongue,        Haida,,0,,0,,0,,0,,5,,0,
Mother tongue,        Inuit languages,,0,,0,,0,,35,,15,,20,
Mother tongue,          Inuinnaqtun (Inuvialuktun),,0,,0,,0,,0,,0,,0,
Mother tongue,          Inuktitut,,0,,0,,0,,30,,10,,20,
Mother tongue,          Inuit languages; n.i.e.,,0,,0,,0,,0,,0,,0,
Mother tongue,        Iroquoian languages,,0,,0,,0,,20,,5,,10,
Mother tongue,          Cayuga,,0,,0,,0,,0,,0,,0,
Mother tongue,          Mohawk,,0,,0,,0,,15,,10,,5,
Mother tongue,          Oneida,,0,,0,,0,,5,,0,,5,
Mother tongue,          Iroquoian languages; n.i.e.,,0,,0,,0,,0,,0,,0,
Mother tongue,        Kutenai,,0,,0,,0,,0,,0,,0,
Mother tongue,        Michif,,0,,0,,0,,5,,0,,0,
Mother tongue,        Salish languages,,0,,0,,0,,5,,0,,0,
Mother tongue,          Comox,,0,,0,,0,,0,,0,,0,
Mother tongue,          Halkomelem,,0,,0,,0,,0,,0,,0,
Mother tongue,          Lillooet,,0,,0,,0,,0,,0,,0,
Mother tongue,          Okanagan,,0,,0,,0,,0,,5,,0,
Mother tongue,          Shuswap (Secwepemctsin),,0,,0,,0,,0,,0,,0,
Mother tongue,          Squamish,,0,,0,,0,,0,,0,,0,
Mother tongue,          Straits,,0,,0,,0,,0,,0,,0,
Mother tongue,          Thompson (Ntlakapamux),,0,,0,,0,,0,,0,,0,
Mother tongue,          Salish languages; n.i.e.,,0,,0,,0,,0,,0,,0,
Mother tongue,        Siouan languages,,0,,0,,0,,0,,0,,0,
Mother tongue,          Dakota,,0,,0,,0,,5,,0,,0,
Mother tongue,          Stoney,,0,,0,,0,,0,,0,,0,
Mother tongue,          Siouan languages; n.i.e.,,0,,0,,0,,0,,0,,0,
Mother tongue,        Tlingit,,0,,0,,0,,0,,0,,0,
Mother tongue,        Tsimshian languages,,0,,0,,0,,0,,0,,0,
Mother tongue,          Gitxsan (Gitksan),,0,,0,,0,,0,,0,,0,
Mother tongue,          Nisga'a,,0,,0,,0,,0,,0,,0,
Mother tongue,          Tsimshian,,0,,0,,0,,0,,0,,0,
Mother tongue,        Wakashan languages,,0,,0,,0,,0,,0,,5,
Mother tongue,          Haisla,,0,,0,,0,,0,,0,,0,
Mother tongue,          Heiltsuk,,0,,0,,0,,0,,0,,0,
Mother tongue,          Kwakiutl (Kwak'wala),,0,,0,,0,,0,,0,,0,
Mother tongue,          Nuu-chah-nulth (Nootka),,0,,0,,0,,0,,0,,0,
Mother tongue,          Wakashan languages; n.i.e.,,0,,0,,0,,0,,0,,0,
Mother tongue,        Aboriginal languages; n.o.s.,,0,,0,,0,,80,,40,,40,
Mother tongue,      Non-Aboriginal languages,,5035,,2305,,2735,,2517980,,1193185,,1324795,
Mother tongue,        Afro-Asiatic languages,,270,,160,,110,,140140,,69950,,70195,
Mother tongue,          Berber languages,,0,,0,,0,,220,,130,,90,
Mother tongue,            Kabyle,,0,,0,,0,,105,,60,,50,
Mother tongue,            Berber languages; n.i.e.,,0,,0,,0,,115,,70,,45,
Mother tongue,          Cushitic languages,,5,,5,,5,,14405,,6195,,8205,
Mother tongue,            Bilen,,0,,0,,0,,80,,45,,35,
Mother tongue,            Oromo,,0,,0,,0,,1005,,490,,515,
Mother tongue,            Somali,,5,,0,,5,,13255,,5625,,7630,
Mother tongue,            Cushitic languages; n.i.e.,,0,,0,,0,,65,,35,,30,
Mother tongue,          Semitic languages,,265,,160,,105,,125160,,63435,,61725,
Mother tongue,            Amharic,,25,,5,,15,,7460,,3375,,4085,
Mother tongue,            Arabic,,190,,120,,70,,85175,,43805,,41365,
Mother tongue,            Assyrian Neo-Aramaic,,0,,0,,0,,10195,,4985,,5215,
Mother tongue,            Chaldean Neo-Aramaic,,0,,0,,0,,1845,,920,,925,
Mother tongue,            Harari,,0,,0,,0,,930,,435,,490,
Mother tongue,            Hebrew,,40,,30,,15,,10390,,5560,,4830,
Mother tongue,            Maltese,,5,,5,,0,,3525,,1730,,1795,
Mother tongue,            Tigrigna,,5,,0,,0,,4725,,2160,,2560,
Mother tongue,            Semitic languages; n.i.e.,,0,,0,,0,,925,,465,,460,
Mother tongue,          Afro-Asiatic languages; n.i.e.,,0,,0,,0,,355,,185,,175,
Mother tongue,        Austro-Asiatic languages,,75,,30,,50,,51160,,23360,,27800,
Mother tongue,          Khmer (Cambodian),,0,,0,,5,,3090,,1400,,1690,
Mother tongue,          Vietnamese,,70,,25,,45,,48005,,21935,,26070,
Mother tongue,          Austro-Asiatic languages; n.i.e,,0,,0,,0,,65,,25,,40,
Mother tongue,        Austronesian languages,,115,,50,,65,,160980,,63835,,97150,
Mother tongue,          Bikol,,0,,0,,0,,470,,210,,260,
Mother tongue,          Cebuano,,5,,5,,0,,5080,,2020,,3055,
Mother tongue,          Fijian,,0,,0,,0,,55,,25,,25,
Mother tongue,          Hiligaynon,,0,,5,,0,,2320,,890,,1435,
Mother tongue,          Ilocano,,0,,0,,0,,9415,,3685,,5735,
Mother tongue,          Malagasy,,0,,0,,0,,25,,15,,15,
Mother tongue,          Malay,,15,,10,,5,,4420,,1995,,2430,
Mother tongue,          Pampangan (Kapampangan; Pampango),,0,,0,,0,,1305,,580,,725,
Mother tongue,          Pangasinan,,0,,0,,0,,450,,185,,270,
Mother tongue,          Tagalog (Pilipino; Filipino),,90,,35,,50,,136115,,53725,,82385,
Mother tongue,          Waray-Waray,,0,,0,,0,,315,,105,,205,
Mother tongue,          Austronesian languages; n.i.e.,,0,,0,,0,,1015,,400,,610,
Mother tongue,        Creole languages,,10,,5,,5,,5505,,2575,,2930,
Mother tongue,          Haitian Creole,,0,,0,,0,,200,,95,,110,
Mother tongue,          Creole; n.o.s.,,0,,0,,0,,3380,,1600,,1785,
Mother tongue,          Creole languages; n.i.e.,,10,,5,,0,,1920,,875,,1040,
Mother tongue,        Dravidian languages,,75,,40,,35,,133415,,65680,,67740,
Mother tongue,          Kannada,,5,,0,,5,,2025,,1015,,1010,
Mother tongue,          Malayalam,,10,,10,,5,,12530,,6430,,6100,
Mother tongue,          Tamil,,35,,25,,20,,109580,,53225,,56355,
Mother tongue,          Telugu,,10,,10,,5,,9015,,4880,,4135,
Mother tongue,          Dravidian languages; n.i.e.,,5,,0,,0,,275,,135,,140,
Mother tongue,        Hmong-Mien languages,,0,,0,,0,,25,,10,,15,
Mother tongue,        Indo-European languages,,2540,,1240,,1300,,1372335,,664655,,707680,
Mother tongue,          Albanian,,10,,5,,10,,13260,,6615,,6645,
Mother tongue,          Armenian,,35,,20,,15,,12570,,6070,,6505,
Mother tongue,          Balto-Slavic languages,,730,,315,,415,,261650,,119970,,141685,
Mother tongue,            Baltic languages,,15,,5,,10,,5445,,2185,,3260,
Mother tongue,              Latvian,,5,,0,,5,,2255,,905,,1350,
Mother tongue,              Lithuanian,,10,,5,,10,,3185,,1280,,1910,
Mother tongue,            Slavic languages,,715,,310,,405,,256205,,117785,,138420,
Mother tongue,              Belarusan,,0,,0,,0,,355,,170,,185,
Mother tongue,              Bosnian,,15,,0,,10,,2750,,1330,,1415,
Mother tongue,              Bulgarian,,15,,5,,10,,6945,,3350,,3590,
Mother tongue,              Croatian,,35,,15,,20,,16525,,7925,,8595,
Mother tongue,              Czech,,20,,10,,10,,4795,,2215,,2580,
Mother tongue,              Macedonian,,20,,10,,10,,12010,,5700,,6315,
Mother tongue,              Polish,,115,,50,,65,,69860,,31625,,38240,
Mother tongue,              Russian,,325,,135,,185,,83105,,37735,,45375,
Mother tongue,              Serbian,,105,,50,,55,,21420,,10425,,10995,
Mother tongue,              Serbo-Croatian,,10,,5,,5,,2420,,1130,,1290,
Mother tongue,              Slovak,,10,,5,,5,,5260,,2455,,2800,
Mother tongue,              Slovene (Slovenian),,5,,0,,5,,3705,,1630,,2075,
Mother tongue,              Ukrainian,,50,,15,,25,,26550,,11840,,14710,
Mother tongue,              Slavic languages; n.i.e.,,0,,0,,0,,510,,265,,245,
Mother tongue,          Celtic languages,,5,,0,,0,,460,,210,,250,
Mother tongue,            Scottish Gaelic,,0,,0,,0,,165,,75,,90,
Mother tongue,            Welsh,,5,,5,,0,,150,,65,,85,
Mother tongue,            Celtic languages; n.i.e.,,0,,0,,0,,140,,75,,70,
Mother tongue,          Germanic languages,,140,,75,,65,,45990,,20810,,25180,
Mother tongue,            Afrikaans,,5,,5,,5,,985,,475,,510,
Mother tongue,            Danish,,10,,10,,0,,1570,,710,,855,
Mother tongue,            Dutch,,30,,10,,15,,8585,,4045,,4540,
Mother tongue,            Frisian,,0,,0,,0,,135,,60,,75,
Mother tongue,            German,,75,,40,,35,,29425,,13140,,16285,
Mother tongue,            Icelandic,,0,,0,,0,,85,,40,,45,
Mother tongue,            Norwegian,,0,,0,,0,,380,,170,,210,
Mother tongue,            Swedish,,15,,5,,10,,1140,,485,,660,
Mother tongue,            Vlaams (Flemish),,0,,5,,0,,280,,110,,170,
Mother tongue,            Yiddish,,0,,0,,0,,3355,,1555,,1800,
Mother tongue,            Germanic languages; n.i.e.,,5,,0,,5,,50,,20,,25,
Mother tongue,          Greek,,75,,40,,35,,41225,,20005,,21215,
Mother tongue,          Indo-Iranian languages,,810,,410,,395,,589495,,296750,,292745,
Mother tongue,            Indo-Aryan languages,,450,,240,,210,,476470,,239960,,236510,
Mother tongue,              Bengali,,50,,30,,20,,38325,,19275,,19045,
Mother tongue,              Gujarati,,40,,20,,20,,64115,,32120,,31995,
Mother tongue,              Hindi,,165,,80,,85,,48140,,24165,,23975,
Mother tongue,              Kashmiri,,0,,0,,0,,275,,140,,140,
Mother tongue,              Konkani,,0,,5,,0,,2155,,1020,,1135,
Mother tongue,              Marathi,,15,,10,,5,,4465,,2270,,2200,
Mother tongue,              Nepali,,0,,0,,5,,4685,,2350,,2330,
Mother tongue,              Oriya (Odia),,0,,0,,0,,585,,315,,270,
Mother tongue,              Punjabi (Panjabi),,75,,40,,40,,171230,,86995,,84230,
Mother tongue,              Sindhi,,5,,0,,5,,5800,,2720,,3085,
Mother tongue,              Sinhala (Sinhalese),,10,,10,,0,,7860,,3805,,4055,
Mother tongue,              Urdu,,95,,60,,40,,128845,,64790,,64060,
Mother tongue,            Iranian languages,,350,,170,,180,,111100,,55775,,55330,
Mother tongue,              Kurdish,,0,,0,,0,,2775,,1555,,1220,
Mother tongue,              Pashto,,0,,5,,0,,7685,,3960,,3730,
Mother tongue,              Persian (Farsi),,350,,170,,180,,100640,,50255,,50380,
Mother tongue,            Indo-Iranian languages; n.i.e.,,5,,5,,5,,1920,,1020,,910,
Mother tongue,          Italic (Romance) languages,,735,,370,,365,,407685,,194225,,213460,
Mother tongue,            Catalan,,5,,0,,5,,165,,90,,75,
Mother tongue,            Italian,,110,,55,,55,,151415,,72645,,78770,
Mother tongue,            Portuguese,,195,,85,,105,,104305,,50075,,54235,
Mother tongue,            Romanian,,85,,45,,40,,25075,,11670,,13400,
Mother tongue,            Spanish,,350,,185,,165,,126500,,59645,,66860,
Mother tongue,            Italic (Romance) languages; n.i.e.,,0,,0,,0,,225,,105,,125,
Mother tongue,        Japanese,,50,,15,,35,,9650,,3370,,6280,
Mother tongue,        Kartvelian languages,,5,,5,,5,,1110,,595,,515,
Mother tongue,          Georgian,,0,,0,,0,,1110,,595,,515,
Mother tongue,        Korean,,245,,110,,135,,55005,,25250,,29750,
Mother tongue,        Mongolic languages,,0,,0,,0,,345,,155,,190,
Mother tongue,          Mongolian,,0,,0,,0,,345,,155,,190,
Mother tongue,        Niger-Congo languages,,20,,10,,15,,24130,,11310,,12820,
Mother tongue,          Akan (Twi),,5,,0,,5,,8490,,3905,,4580,
Mother tongue,          Bamanankan,,0,,0,,0,,60,,30,,30,
Mother tongue,          Edo,,0,,0,,0,,1020,,410,,610,
Mother tongue,          Ewe,,0,,0,,0,,370,,185,,190,
Mother tongue,          Fulah (Pular; Pulaar; Fulfulde),,0,,0,,0,,220,,115,,105,
Mother tongue,          Ga,,0,,0,,0,,440,,200,,245,
Mother tongue,          Ganda,,0,,0,,0,,515,,245,,270,
Mother tongue,          Igbo,,5,,0,,0,,1520,,775,,750,
Mother tongue,          Lingala,,0,,0,,0,,375,,175,,200,
Mother tongue,          Rundi (Kirundi),,0,,0,,0,,355,,165,,185,
Mother tongue,          Kinyarwanda (Rwanda),,5,,0,,5,,380,,175,,210,
Mother tongue,          Shona,,0,,0,,0,,680,,325,,355,
Mother tongue,          Swahili,,5,,5,,0,,3215,,1495,,1715,
Mother tongue,          Wolof,,0,,0,,0,,160,,90,,80,
Mother tongue,          Yoruba,,0,,0,,0,,3380,,1720,,1655,
Mother tongue,          Niger-Congo languages; n.i.e.,,5,,0,,0,,2945,,1310,,1635,
Mother tongue,        Nilo-Saharan languages,,5,,0,,0,,360,,200,,160,
Mother tongue,          Dinka,,0,,0,,0,,45,,25,,15,
Mother tongue,          Nilo-Saharan languages; n.i.e.,,5,,0,,0,,315,,170,,145,
Mother tongue,        Sign languages,,0,,0,,0,,1220,,665,,555,
Mother tongue,          American Sign Language,,5,,0,,5,,470,,250,,220,
Mother tongue,          Quebec Sign Language,,0,,0,,0,,0,,0,,0,
Mother tongue,          Sign languages; n.i.e,,0,,0,,0,,750,,420,,330,
Mother tongue,        Sino-Tibetan languages,,1505,,580,,920,,516670,,239930,,276740,
Mother tongue,          Chinese languages,,1500,,585,,915,,510185,,236775,,273415,
Mother tongue,            Cantonese,,640,,270,,375,,247710,,115020,,132680,
Mother tongue,            Hakka,,15,,5,,5,,6495,,2915,,3580,
Mother tongue,            Mandarin,,745,,265,,480,,227085,,105655,,121435,
Mother tongue,            Min Dong,,0,,0,,0,,765,,370,,395,
Mother tongue,            Min Nan (Chaochow; Teochow; Fukien; Taiwanese),,30,,15,,15,,11580,,5345,,6235,
Mother tongue,            Wu (Shanghainese),,25,,10,,15,,5290,,2380,,2910,
Mother tongue,            Chinese; n.o.s.,,40,,20,,25,,11075,,4995,,6080,
Mother tongue,            Chinese languages; n.i.e.,,0,,0,,0,,190,,95,,95,
Mother tongue,          Tibeto-Burman languages,,0,,0,,0,,6485,,3160,,3325,
Mother tongue,            Burmese,,0,,0,,0,,1005,,450,,555,
Mother tongue,            Karenic languages,,0,,0,,0,,265,,125,,140,
Mother tongue,            Tibetan,,0,,0,,0,,4875,,2410,,2470,
Mother tongue,            Tibeto-Burman languages; n.i.e.,,0,,0,,0,,335,,175,,160,
Mother tongue,        Tai-Kadai languages,,10,,10,,5,,3935,,1600,,2340,
Mother tongue,          Lao,,5,,5,,0,,2275,,1095,,1180,
Mother tongue,          Thai,,5,,5,,5,,1640,,495,,1145,
Mother tongue,          Tai-Kadai languages; n.i.e,,0,,0,,0,,25,,10,,15,
Mother tongue,        Turkic languages,,80,,40,,40,,16700,,8685,,8015,
Mother tongue,          Azerbaijani,,5,,5,,0,,1615,,865,,745,
